Alho,alho,1.62,9a020368-dee0-4d93-b789-9f9e0a934238                                                                                                                                                                                                                           ,Unidade,230,1
Batata Doce,batata-doce,2.10,2eec22b7-530c-4552-9b0b-6126506e31c7                                                                                                                                                                                                                           ,Unidade,230,2
Batata Inglesa,batata-inglesa,1.44,b48c39af-7c76-438c-9f74-0d580dc64c50                                                                                                                                                                                                                           ,Unidade,230,3
Beterraba,beterraba,1.26,8f0d4786-391e-41f6-ae43-1ea09554e723                                                                                                                                                                                                                           ,Unidade,230,4
Cenoura,cenoura,1.92,78ab9525-581a-42ac-8d90-5c9f473fd4b0                                                                                                                                                                                                                           ,Unidade,230,5
Chuchu,chuchu,2.31,a16ed3d7-e3e3-4863-8a4e-34661c385e55                                                                                                                                                                                                                           ,Unidade,230,6
Pimentão Amarelo,pimentao-amarelo,5.20,a053ef59-c246-42f0-adca-17c67fd971df                                                                                                                                                                                                                           ,Unidade,180,7
Quiabo,quiabo,7.99,d2d424de-832b-4bd4-8fbd-ecedd30e5761                                                                                                                                                                                                                           ,Bandeja,100,8
Berinjela,berinjela,2.10,cac571be-e4d9-4a82-8302-670533b0cfba                                                                                                                                                                                                                           ,Unidade,229,9
Macaxeira,macaxeira,0.60,f11dd681-2280-431a-a20b-475b40f87673                                                                                                                                                                                                                           ,Unidade,230,10
Pepino,pepino,1.25,196827fd-e61d-4029-9829-b3af97a4f414                                                                                                                                                                                                                           ,Unidade,230,11
Pimentão Verde,pimentao-verde,1.60,a1e72b38-3430-4988-9928-d10445347957                                                                                                                                                                                                                           ,Unidade,230,12
Tomate Italiano,tomate-italiano,1.39,c7a63f31-eac5-4b8e-b41c-bf4f5273372a                                                                                                                                                                                                                           ,Unidade,230,13
Maxixe,maxixe,0.70,c437a897-0c2d-4ba7-894c-7a81266b923e                                                                                                                                                                                                                           ,Unidade,228,14
Pimentão Vermelho,pimentao-vermelho,3.99,4dc2dbc9-e59f-4817-901d-c0d8164700fe                                                                                                                                                                                                                           ,Unidade,229,15
